"","id","bathrooms","bedrooms","currency","fee","has_photo","pets_allowed","price","price_display","price_type","square_feet","cityname","state"
"1",5668626895,"null","0","USD","No","Thumbnail","None",790,"$790","Monthly",101,"Washington","DC"
"2",5664597177,"null","1","USD","No","Thumbnail","None",425,"$425","Monthly",106,"Evansville","IN"
"3",5668626833,"1","0","USD","No","Thumbnail","None",1390,"$1,390","Monthly",107,"Arlington","VA"
"4",5659918074,"1","0","USD","No","Thumbnail","None",925,"$925","Monthly",116,"Seattle","WA"
"5",5668626759,"null","0","USD","No","Thumbnail","None",880,"$880","Monthly",125,"Arlington","VA"
"6",5667891676,"1","0","USD","No","Thumbnail","null",2475,"$2,475","Monthly",130,"Manhattan","NY"
"7",5668627426,"null","0","USD","No","Thumbnail","None",1800,"$1,800","Monthly",132,"Venice","CA"
"8",5668626687,"null","0","USD","No","Thumbnail","None",840,"$840","Monthly",136,"Washington","DC"
"9",5668610290,"1","0","USD","No","Thumbnail","None",1495,"$1,495","Monthly",138,"San Francisco","CA"
"10",5668627023,"null","0","USD","No","Thumbnail","None",890,"$890","Monthly",141,"Washington","DC"
"11",5668627099,"null","0","USD","No","Thumbnail","None",990,"$990","Monthly",146,"Washington","DC"
"12",5668626548,"null","0","USD","No","Thumbnail","None",840,"$840","Monthly",150,"Washington","DC"
"13",5664598162,"null","1","USD","No","Thumbnail","Cats,Dogs",1795,"$1,795","Monthly",156,"Tucson","AZ"
"14",5668626900,"null","0","USD","No","Thumbnail","None",1090,"$1,090","Monthly",178,"Washington","DC"
"15",5664571820,"1","0","USD","No","Thumbnail","None",1695,"$1,695","Monthly",190,"San Francisco","CA"
"16",5659276240,"1","1","USD","No","Thumbnail","Cats,Dogs",1560,"$1,560 Weekly","Weekly",200,"New Bern","NC"
"17",5654898031,"1","1","USD","No","Thumbnail","Cats,Dogs",1560,"$1,560","Monthly",200,"New Bern","NC"
"18",5664574876,"1","1","USD","No","Thumbnail","None",1000,"$1,000","Monthly",200,"Spring","TX"
"19",5668633573,"1","1","USD","No","Thumbnail","None",950,"$950","Monthly",200,"Vallejo","CA"
"20",5668624220,"1","1","USD","No","Thumbnail","None",625,"$625","Monthly",200,"Marietta","GA"
"21",5653564493,"1","1","USD","No","Thumbnail","None",600,"$600","Monthly",200,"Charlotte","NC"
"22",5668622178,"1","1","USD","No","Thumbnail","None",544,"$544","Monthly",200,"Tallahassee","FL"
"23",5664567303,"1","1","USD","No","Thumbnail","None",525,"$525","Monthly",200,"null","null"
"24",5664577209,"1","1","USD","No","Thumbnail","None",450,"$450","Monthly",200,"Phoenix","AZ"
"25",5664574105,"1","1","USD","No","Thumbnail","None",750,"$750","Monthly",215,"Riverview","FL"
"26",5668624126,"1","1","USD","No","Thumbnail","None",2000,"$2,000","Monthly",219,"Lafayette","AL"
"27",5668624017,"1","1","USD","No","Thumbnail","None",1400,"$1,400","Monthly",219,"San Francisco","CA"
"28",5668624367,"1","1","USD","No","Thumbnail","None",1095,"$1,095","Monthly",219,"Glen Burnie","MD"
"29",5664570217,"1","1","USD","No","Thumbnail","None",915,"$915","Monthly",219,"Littleton","CO"
"30",5664574791,"1","1","USD","No","Thumbnail","None",900,"$900","Monthly",219,"Waldorf","MD"
"31",5664573949,"1","1","USD","No","Thumbnail","None",865,"$865","Monthly",219,"Riverview","FL"
"32",5668619369,"1","1","USD","No","Thumbnail","None",750,"$750","Monthly",219,"null","null"
"33",5664570058,"1","1","USD","No","Thumbnail","None",725,"$725","Monthly",219,"Aurora","CO"
"34",5668624549,"1","1","USD","No","Thumbnail","None",650,"$650","Monthly",219,"Manassas","VA"
"35",5664572906,"1","1","USD","No","Thumbnail","None",650,"$650","Monthly",219,"Decatur","GA"
"36",5668624370,"1","1","USD","No","Thumbnail","None",645,"$645","Monthly",219,"Tampa","FL"
"37",5668625590,"1","1","USD","No","Thumbnail","None",595,"$595","Monthly",219,"Albuquerque","NM"
"38",5664573404,"1","1","USD","No","Thumbnail","None",750,"$750","Monthly",220,"null","null"
"39",5668634310,"1","0","USD","No","Thumbnail","Cats,Dogs",1195,"$1,195","Monthly",223,"Seattle","WA"
"40",5668640879,"1","0","USD","No","Thumbnail","None",1150,"$1,150","Monthly",225,"Seattle","WA"
"41",5668625234,"1","1","USD","No","Thumbnail","Cats",942,"$942","Monthly",225,"Chicago","IL"
"42",5668639212,"1","0","USD","No","Thumbnail","Cats,Dogs",1250,"$1,250","Monthly",228,"Seattle","WA"
"43",5659899323,"1","1","USD","No","Thumbnail","None",800,"$800","Monthly",230,"Gastonia","NC"
"44",5664573954,"1","1","USD","No","Thumbnail","None",685,"$685","Monthly",230,"Wimauma","FL"
"45",5668628531,"1","1","USD","No","Thumbnail","Cats,Dogs",525,"$525","Monthly",230,"Memphis","TN"
"46",5668639708,"1","0","USD","No","Thumbnail","Cats",1095,"$1,095","Monthly",231,"Seattle","WA"
"47",5668612110,"1","0","USD","No","Thumbnail","Cats,Dogs",1695,"$1,695","Monthly",232,"San Francisco","CA"
"48",5668626855,"null","0","USD","No","Thumbnail","None",990,"$990","Monthly",239,"Washington","DC"
"49",5668636830,"1","1","USD","No","Thumbnail","Cats",775,"$775","Monthly",240,"Bellingham","WA"
"50",5668629000,"1","0","USD","No","Thumbnail","Cats,Dogs",1299,"$1,299","Monthly",243,"Seattle","WA"
"51",5668620457,"1","1","USD","No","Thumbnail","Cats,Dogs",705,"$705","Monthly",245,"Anchorage","AK"
"52",5664571995,"1","1","USD","No","Thumbnail","None",1800,"$1,800","Monthly",250,"Pacifica","CA"
"53",5653561496,"1","1","USD","No","Thumbnail","None",1600,"$1,600","Monthly",250,"Marina Del Rey","CA"
"54",5668624072,"1","1","USD","No","Thumbnail","None",1500,"$1,500","Monthly",250,"San Francisco","CA"
"55",5664579604,"1","1","USD","No","Thumbnail","None",1330,"$1,330","Monthly",250,"Studio City","CA"
"56",5668623065,"1","1","USD","No","Thumbnail","None",1310,"$1,310","Monthly",250,"Moorpark","CA"
"57",5664579928,"1","1","USD","No","Thumbnail","None",1300,"$1,300","Monthly",250,"Torrance","CA"
"58",5664568684,"1","1","USD","No","Thumbnail","None",1295,"$1,295","Monthly",250,"Sacramento","CA"
"59",5653562721,"1","1","USD","No","Thumbnail","None",1255,"$1,255","Monthly",250,"Lake Balboa","CA"
"60",5664574541,"1","1","USD","No","Thumbnail","None",1250,"$1,250","Monthly",250,"Seattle","WA"
"61",5648113719,"1","1","USD","No","Thumbnail","None",1250,"$1,250","Monthly",250,"North Hollywood","CA"
"62",5664570234,"1","1","USD","No","Thumbnail","None",1200,"$1,200","Monthly",250,"Denver","CO"
"63",5664571553,"1","1","USD","No","Thumbnail","None",1200,"$1,200","Monthly",250,"Aurora","CO"
